[b]Lucas Giolito, SP ChW [/b]
[b]TB[/b]: 4 years at 7.00 per year
[b]OAK[/b]: 5 years at 6.00 per year
[b]NYY[/b]: 3 years at 5.75 per year
[b]TOR[/b]: 5 years at 5.20 per year
[b]CLE[/b]: 3 years at 5.03 per year
[b]ARZ[/b]: 3 years at 5.00 per year
[b]SD[/b]: 5 years at 4.73 per year
[b]BOS[/b]: 3 years at 4.48 per year
[b]NYM[/b]: 3 years at 4.00 per year
[b]PIT[/b]: 4 years at 3.76 per year
[b]KC[/b]: 3 years at 2.52 per year
[b]ATL[/b]: 3 years at 2.00 per year
[b]LAD[/b]: 5 years at 1.70 per year

[b]Walker Buehler, SP LAD [/b]
[b]TB[/b]: 5 years at 9.00 per year (4.00, 9.00, 12.00, 10.00, 10.00)
[b]WAS[/b]: 4 years at 7.00 per year
[b]PIT[/b]: 3 years at 6.26 per year
[b]OAK[/b]: 5 years at 6.00 per year (7.20, 4.80, 4.80, 6.00, 7.20)
[b]BOS[/b]: 5 years at 4.88 per year
[b]SD[/b]: 5 years at 4.73 per year
[b]CLE[/b]: 4 years at 4.63 per year (6.00, 5.00, 4.00, 3.50)
[b]TOR[/b]: 5 years at 4.50 per year
[b]ARZ[/b]: 3 years at 2.00 per year
[b]NYM[/b]: 5 years at 1.00 per year (0.80, 0.80, 1.00, 1.20, 1.20)

[b]Jesse Winker, OF Sea [/b]
[b]CLE[/b]: 3 years at 1.80 per year
[b]ARZ[/b]: 3 years at 1.50 per year

[b]Gleyber Torres, 2B NYY [/b]
[b]TB[/b]: 4 years at 7.50 per year (8.00, 8.00, 7.00, 7.00)
[b]ARZ[/b]: 3 years at 6.20 per year
[b]CLE[/b]: 3 years at 6.13 per year
[b]BOS[/b]: 3 years at 6.12 per year
[b]PIT[/b]: 3 years at 5.26 per year
[b]ATL[/b]: 3 years at 4.50 per year
[b]OAK[/b]: 5 years at 4.00 per year
[b]WAS[/b]: 4 years at 4.00 per year
[b]TOR[/b]: 5 years at 3.80 per year
[b]SD[/b]: 3 years at 3.43 per year

[b]Harrison Bader, OF NYY [/b]
[b]TB[/b]: 3 years at 5.00 per year
[b]ARZ[/b]: 3 years at 3.80 per year
[b]ATL[/b]: 3 years at 2.50 per year
[b]DET[/b]: 3 years at 2.50 per year
[b]CLE[/b]: 3 years at 1.10 per year
[b]OAK[/b]: 3 years at 1.10 per year

[b]Yoan Moncada, 3B ChW [/b]
[b]TB[/b]: 4 years at 5.00 per year
[b]NYM[/b]: 3 years at 3.50 per year
[b]SD[/b]: 3 years at 2.43 per year
[b]ARZ[/b]: 3 years at 1.00 per year

[b]Mike Soroka, SP Atl [/b]
[b]TB[/b]: 4 years at 6.00 per year
[b]SD[/b]: 5 years at 4.43 per year
[b]WAS[/b]: 3 years at 3.00 per year
[b]NYM[/b]: 4 years at 2.50 per year
[b]TOR[/b]: 5 years at 2.40 per year
[b]ARZ[/b]: 3 years at 1.50 per year
[b]OAK[/b]: 5 years at 1.00 per year
[b]LAD[/b]: 5 years at 0.42 per year

[b]Austin Meadows, OF Det [/b]
[b]WAS[/b]: 3 years at 3.00 per year
[b]NYM[/b]: 3 years at 2.50 per year
[b]OAK[/b]: 3 years at 2.50 per year
[b]ARZ[/b]: 3 years at 1.00 per year
[b]DET[/b]: 3 years at 0.90 per year

[b]John Means, SP Bal [/b]
[b]TB[/b]: 3 years at 4.00 per year
[b]TOR[/b]: 5 years at 3.50 per year
[b]SD[/b]: 3 years at 3.43 per year
[b]PIT[/b]: 3 years at 2.76 per year
[b]KC[/b]: 3 years at 2.52 per year
[b]ARZ[/b]: 3 years at 2.50 per year
[b]OAK[/b]: 3 years at 2.00 per year
[b]LAD[/b]: 5 years at 0.42 per year

[b]Ahmed Rosario, SS/OF Cle [/b]
[b]ATL[/b]: 3 years at 7.50 per year
[b]TOR[/b]: 5 years at 6.20 per year
[b]OAK[/b]: 5 years at 4.00 per year
[b]BOS[/b]: 3 years at 3.38 per year
[b]ARZ[/b]: 3 years at 1.00 per year

[b]Mitch Garver, C Tex [/b]
[b]BOS[/b]: 5 years at 0.72 per year

